DEPT,DT,GR,M2R1,M2R2,M2R3,M2R6,M2R9,M2RX,SP,ZDEN
M,US/FT,gAPI,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,mV,G/C3
1325.7001,102.6267,141.1393,1.4599,1.4599,1.4699,1.4699,1.46,1.46,-999.25,-999.25
1325.8001,102.5331,140.3587,1.4271,1.4271,1.4371,1.4371,1.46,1.46,-999.25,-999.25
1325.9001,102.9904,124.7915,1.3822,1.3822,1.3922,1.3922,1.443,1.443,-999.25,-999.25
1326.0001,103.4542,38.8111,1.3415,1.3415,1.3514,1.3514,1.3561,1.3561,-999.25,-999.25
1326.1001,103.9063,33.1703,1.1717,1.1717,1.1641,1.1641,1.1542,1.1542,-999.25,-999.25
1326.2001,104.3698,65.7105,0.966,0.966,0.937,0.937,0.927,0.927,-999.25,-999.25
1326.3001,104.8373,98.3404,0.9395,0.9395,0.9171,0.9171,0.9072,0.9072,-999.25,-999.25
1326.4001,105.706,109.1906,0.9137,0.9137,0.8978,0.8978,0.8919,0.8919,-999.25,-999.25
1326.5001,106.8525,107.5007,0.8864,0.8864,0.8786,0.8786,0.8779,0.8779,-999.25,-999.25
1326.6001,107.9764,105.7825,0.8542,0.8542,0.8657,0.8657,0.8585,0.8585,-999.25,-999.25
1326.7001,109.1244,107.08,0.84,0.84,0.86,0.86,0.8652,0.8652,-999.25,-999.25
